Date,Open,High,Low,Close,Volume
04/07/2021,"125.83","127.92","125.14","127.90","83,466,719"
04/06/2021,"126.50","127.13","125.65","126.21","80,171,250"
04/05/2021,"123.87","126.16","123.07","125.90","88,651,188"
04/01/2021,"123.66","124.18","122.49","123.00","75,089,125"
03/31/2021,"121.65","123.52","121.15","122.15","118,323,797"
03/30/2021,"120.11","120.40","118.86","119.90","85,671,922"
03/29/2021,"121.65","122.58","120.73","121.39","80,819,203"
03/26/2021,"120.35","121.48","118.92","121.21","94,071,234"
03/25/2021,"119.54","121.66","119.00","120.59","98,844,680"
03/24/2021,"122.82","122.90","120.07","120.09","88,530,484"
03/23/2021,"123.33","124.24","122.14","122.54","95,467,133"
03/22/2021,"120.33","123.87","120.26","123.39","111,912,305"
03/19/2021,"119.90","121.43","119.68","119.99","185,549,500"
03/18/2021,"122.88","123.18","120.32","120.53","121,469,797"
03/17/2021,"124.05","125.86","122.34","124.76","111,932,602"
03/16/2021,"125.70","127.22","124.72","125.57","115,227,906"
03/15/2021,"121.41","124.00","120.42","123.99","92,590,562"
03/12/2021,"120.40","121.17","119.16","121.03","88,105,047"
03/11/2021,"122.54","123.21","121.26","121.96","103,026,492"
03/10/2021,"121.69","122.17","119.45","119.98","111,943,297"
03/09/2021,"119.03","122.06","118.79","121.09","129,525,797"
03/08/2021,"120.93","121.00","116.21","116.36","154,376,609"
03/05/2021,"120.98","121.94","117.57","121.42","153,766,594"
03/04/2021,"121.75","123.60","118.62","120.13","178,155,016"
03/03/2021,"124.81","125.71","121.84","122.06","112,966,305"
03/02/2021,"128.41","128.72","125.01","125.12","102,260,898"
03/01/2021,"123.75","127.93","122.79","127.79","116,307,906"
02/26/2021,"122.59","124.85","121.20","121.26","164,560,406"
02/25/2021,"124.68","126.46","120.54","120.99","148,199,500"
02/24/2021,"124.94","125.56","122.23","125.35","111,039,906"
02/23/2021,"123.76","126.71","118.39","125.86","158,272,984"
02/22/2021,"128.01","129.72","125.60","126.00","103,916,398"
02/19/2021,"130.24","130.71","128.80","129.87","87,668,828"
02/18/2021,"129.20","130.00","127.41","129.71","96,856,750"
02/17/2021,"131.25","132.22","129.47","130.84","98,085,250"
02/16/2021,"135.49","136.01","132.79","133.19","80,576,320"
02/12/2021,"134.35","135.53","133.69","135.37","60,145,129"
02/11/2021,"135.90","136.39","133.77","135.13","64,280,031"
02/10/2021,"136.48","136.99","134.40","135.39","73,046,562"
02/09/2021,"136.62","137.88","135.85","136.01","76,774,211"
02/08/2021,"136.03","136.96","134.92","136.91","71,297,211"
02/05/2021,"137.35","137.42","135.86","136.76","75,693,828"
02/04/2021,"136.30","137.40","134.59","137.39","84,183,055"
02/03/2021,"135.76","135.77","133.61","133.94","89,880,945"
02/02/2021,"135.73","136.31","134.61","134.99","83,305,367"
02/01/2021,"133.75","135.38","130.93","134.14","106,239,797"
01/29/2021,"135.83","136.74","130.21","131.96","177,523,812"
01/28/2021,"139.52","141.99","136.70","137.09","142,621,109"
01/27/2021,"143.43","144.30","140.41","142.06","140,843,812"
01/26/2021,"143.60","144.30","141.37","143.16","98,390,562"
01/25/2021,"143.07","145.09","136.54","142.92","157,611,703"
01/22/2021,"136.28","139.85","135.02","139.07","114,459,398"
01/21/2021,"133.80","139.67","133.59","136.87","120,529,508"
01/20/2021,"128.66","132.49","128.55","132.03","104,319,508"
01/19/2021,"127.78","128.71","126.94","127.83","90,757,328"
01/15/2021,"128.78","130.22","127.00","127.14","111,598,492"
01/14/2021,"130.80","131.00","128.76","128.91","90,221,758"
01/13/2021,"128.76","131.45","128.49","130.89","88,636,828"
01/12/2021,"128.50","129.69","126.86","128.80","91,951,148"
01/11/2021,"129.19","130.17","128.50","128.98","100,620,898"
01/08/2021,"132.43","132.63","130.23","132.05","105,158,203"
01/07/2021,"128.36","131.63","127.86","130.92","109,578,203"
01/06/2021,"127.72","131.05","126.38","126.60","155,088,000"
01/05/2021,"128.89","131.74","128.43","131.01","97,664,898"
01/04/2021,"133.52","133.61","126.76","129.41","143,301,906"
